,survived,pclass,sex,age,sibsp,parch,fare,embarked,deck,FamilySize,isAlone
0,0,3,1,22.0,1,0,7.25,S,G,2,0
1,1,1,0,38.0,1,0,71.2833,C,C,2,0
2,1,3,0,26.0,0,0,7.925,S,E,1,1
3,1,1,0,35.0,1,0,53.1,S,C,2,0
4,0,3,1,35.0,0,0,8.05,S,E,1,1
5,0,3,1,29.869351032448375,0,0,8.4583,Q,G,1,1
6,0,1,1,54.0,0,0,51.8625,S,E,1,1
7,0,3,1,2.0,3,1,21.075,S,F,5,0
8,1,3,0,27.0,0,2,11.1333,S,E,3,0
9,1,2,0,14.0,1,0,30.0708,C,D,2,0
10,1,3,0,4.0,1,1,16.7,S,G,3,0
11,1,1,0,58.0,0,0,26.55,S,C,1,1
12,0,3,1,20.0,0,0,8.05,S,E,1,1
13,0,3,1,39.0,1,5,31.275,S,G,7,0
14,0,3,0,14.0,0,0,7.8542,S,E,1,1
15,1,2,0,55.0,0,0,16.0,S,D,1,1
16,0,3,1,2.0,4,1,29.125,Q,G,6,0
17,1,2,1,29.869351032448375,0,0,13.0,S,E,1,1
18,0,3,0,31.0,1,0,18.0,S,E,2,0
19,1,3,0,29.869351032448375,0,0,7.225,C,E,1,1
20,0,2,1,35.0,0,0,26.0,S,D,1,1
21,1,2,1,34.0,0,0,13.0,S,D,1,1
22,1,3,0,15.0,0,0,8.0292,Q,E,1,1
23,1,1,1,28.0,0,0,35.5,S,A,1,1
24,0,3,0,8.0,3,1,21.075,S,E,5,0
25,1,3,0,38.0,1,5,31.3875,S,G,7,0
26,0,3,1,29.869351032448375,0,0,7.225,C,G,1,1
27,0,1,1,19.0,3,2,263.0,S,C,6,0
28,1,3,0,29.869351032448375,0,0,7.8792,Q,E,1,1
29,0,3,1,29.869351032448375,0,0,7.8958,S,G,1,1
30,0,1,1,40.0,0,0,27.7208,C,A,1,1
31,1,1,0,29.869351032448375,1,0,146.5208,C,B,2,0
32,1,3,0,29.869351032448375,0,0,7.75,Q,G,1,1
33,0,2,1,66.0,0,0,10.5,S,E,1,1
34,0,1,1,28.0,1,0,82.1708,C,A,2,0
35,0,1,1,42.0,1,0,52.0,S,B,2,0
36,1,3,1,29.869351032448375,0,0,7.2292,C,G,1,1
37,0,3,1,21.0,0,0,8.05,S,F,1,1
38,0,3,0,18.0,2,0,18.0,S,E,3,0
39,1,3,0,14.0,1,0,11.2417,C,E,2,0
40,0,3,0,40.0,1,0,9.475,S,G,2,0
41,0,2,0,27.0,1,0,21.0,S,E,2,0
42,0,3,1,29.869351032448375,0,0,7.8958,C,F,1,1
43,1,2,0,3.0,1,2,41.5792,C,E,4,0
44,1,3,0,19.0,0,0,7.8792,Q,E,1,1
45,0,3,1,29.869351032448375,0,0,8.05,S,E,1,1
46,0,3,1,29.869351032448375,1,0,15.5,Q,F,2,0
48,0,3,1,29.869351032448375,2,0,21.6792,C,E,3,0
49,0,3,0,18.0,1,0,17.8,S,E,2,0
50,0,3,1,7.0,4,1,39.6875,S,F,6,0
51,0,3,1,21.0,0,0,7.8,S,E,1,1
52,1,1,0,49.0,1,0,76.7292,C,D,2,0
53,1,2,0,29.0,1,0,26.0,S,E,2,0
54,0,1,1,65.0,0,1,61.9792,C,B,2,0
55,1,1,1,29.869351032448375,0,0,35.5,S,C,1,1
56,1,2,0,21.0,0,0,10.5,S,E,1,1
57,0,3,1,28.5,0,0,7.2292,C,G,1,1
58,1,2,0,5.0,1,2,27.75,S,E,4,0
59,0,3,1,11.0,5,2,46.9,S,E,8,0
60,0,3,1,22.0,0,0,7.2292,C,G,1,1
61,1,1,0,38.0,0,0,80.0,S,B,1,1
62,0,1,1,45.0,1,0,83.475,S,C,2,0
63,0,3,1,4.0,3,2,27.9,S,F,6,0
64,0,1,1,29.869351032448375,0,0,27.7208,C,C,1,1
65,1,3,1,29.869351032448375,1,1,15.2458,C,E,3,0
66,1,2,0,29.0,0,0,10.5,S,F,1,1
67,0,3,1,19.0,0,0,8.1583,S,F,1,1
68,1,3,0,17.0,4,2,7.925,S,E,7,0
69,0,3,1,26.0,2,0,8.6625,S,G,3,0
70,0,2,1,32.0,0,0,10.5,S,E,1,1
71,0,3,0,16.0,5,2,46.9,S,G,8,0
72,0,2,1,21.0,0,0,73.5,S,E,1,1
73,0,3,1,26.0,1,0,14.4542,C,G,2,0
74,1,3,1,32.0,0,0,56.4958,S,E,1,1
75,0,3,1,25.0,0,0,7.65,S,F,1,1
78,1,2,1,0.83,0,2,29.0,S,D,3,0
79,1,3,0,30.0,0,0,12.475,S,E,1,1
80,0,3,1,22.0,0,0,9.0,S,G,1,1
81,1,3,1,29.0,0,0,9.5,S,E,1,1
82,1,3,0,29.869351032448375,0,0,7.7875,Q,F,1,1
83,0,1,1,28.0,0,0,47.1,S,A,1,1
84,1,2,0,17.0,0,0,10.5,S,D,1,1
85,1,3,0,33.0,3,0,15.85,S,E,4,0
86,0,3,1,16.0,1,3,34.375,S,F,5,0
88,1,1,0,23.0,3,2,263.0,S,C,6,0
89,0,3,1,24.0,0,0,8.05,S,F,1,1
90,0,3,1,29.0,0,0,8.05,S,F,1,1
91,0,3,1,20.0,0,0,7.8542,S,G,1,1
92,0,1,1,46.0,1,0,61.175,S,E,2,0
93,0,3,1,26.0,1,2,20.575,S,F,4,0
94,0,3,1,59.0,0,0,7.25,S,E,1,1
96,0,1,1,71.0,0,0,34.6542,C,A,1,1
97,1,1,1,23.0,0,1,63.3583,C,D,2,0
98,1,2,0,34.0,0,1,23.0,S,E,2,0
99,0,2,1,34.0,1,0,26.0,S,E,2,0
100,0,3,0,28.0,0,0,7.8958,S,E,1,1
102,0,1,1,21.0,0,1,77.2875,S,D,2,0
103,0,3,1,33.0,0,0,8.6542,S,G,1,1
104,0,3,1,37.0,2,0,7.925,S,F,3,0
105,0,3,1,28.0,0,0,7.8958,S,G,1,1
106,1,3,0,21.0,0,0,7.65,S,G,1,1
107,1,3,1,29.869351032448375,0,0,7.775,S,G,1,1
108,0,3,1,38.0,0,0,7.8958,S,E,1,1
109,1,3,0,29.869351032448375,1,0,24.15,Q,G,2,0
110,0,1,1,47.0,0,0,52.0,S,C,1,1
111,0,3,0,14.5,1,0,14.4542,C,G,2,0
112,0,3,1,22.0,0,0,8.05,S,E,1,1
113,0,3,0,20.0,1,0,9.825,S,G,2,0
114,0,3,0,17.0,0,0,14.4583,C,G,1,1
115,0,3,1,21.0,0,0,7.925,S,E,1,1
116,0,3,1,70.5,0,0,7.75,Q,E,1,1
117,0,2,1,29.0,1,0,21.0,S,E,2,0
118,0,1,1,24.0,0,1,247.5208,C,B,2,0
119,0,3,0,2.0,4,2,31.275,S,F,7,0
120,0,2,1,21.0,2,0,73.5,S,E,3,0
122,0,2,1,32.5,1,0,30.0708,C,D,2,0
123,1,2,0,32.5,0,0,13.0,S,E,1,1
124,0,1,1,54.0,0,1,77.2875,S,D,2,0
125,1,3,1,12.0,1,0,11.2417,C,G,2,0
126,0,3,1,29.869351032448375,0,0,7.75,Q,F,1,1
127,1,3,1,24.0,0,0,7.1417,S,E,1,1
128,1,3,0,29.869351032448375,1,1,22.3583,C,F,3,0
129,0,3,1,45.0,0,0,6.975,S,E,1,1
130,0,3,1,33.0,0,0,7.8958,C,E,1,1
131,0,3,1,20.0,0,0,7.05,S,F,1,1
132,0,3,0,47.0,1,0,14.5,S,F,2,0
134,0,2,1,25.0,0,0,13.0,S,E,1,1
135,0,2,1,23.0,0,0,15.0458,C,D,1,1
136,1,1,0,19.0,0,2,26.2833,S,D,3,0
137,0,1,1,37.0,1,0,53.1,S,C,2,0
138,0,3,1,16.0,0,0,9.2167,S,E,1,1
139,0,1,1,24.0,0,0,79.2,C,B,1,1
140,0,3,0,29.869351032448375,0,2,15.2458,C,G,3,0
141,1,3,0,22.0,0,0,7.75,S,G,1,1
142,1,3,0,24.0,1,0,15.85,S,F,2,0
143,0,3,1,19.0,0,0,6.75,Q,E,1,1
144,0,2,1,18.0,0,0,11.5,S,E,1,1
145,0,2,1,19.0,1,1,36.75,S,E,3,0
146,1,3,1,27.0,0,0,7.7958,S,G,1,1
147,0,3,0,9.0,2,2,34.375,S,F,5,0
148,0,2,1,36.5,0,2,26.0,S,F,3,0
149,0,2,1,42.0,0,0,13.0,S,D,1,1
150,0,2,1,51.0,0,0,12.525,S,E,1,1
151,1,1,0,22.0,1,0,66.6,S,C,2,0
152,0,3,1,55.5,0,0,8.05,S,E,1,1
153,0,3,1,40.5,0,2,14.5,S,E,3,0
154,0,3,1,29.869351032448375,0,0,7.3125,S,G,1,1
155,0,1,1,51.0,0,1,61.3792,C,C,2,0
156,1,3,0,16.0,0,0,7.7333,Q,G,1,1
157,0,3,1,30.0,0,0,8.05,S,F,1,1
158,0,3,1,29.869351032448375,0,0,8.6625,S,G,1,1
159,0,3,1,29.869351032448375,8,2,69.55,S,G,11,0
160,0,3,1,44.0,0,1,16.1,S,F,2,0
161,1,2,0,40.0,0,0,15.75,S,E,1,1
162,0,3,1,26.0,0,0,7.775,S,F,1,1
163,0,3,1,17.0,0,0,8.6625,S,E,1,1
164,0,3,1,1.0,4,1,39.6875,S,E,6,0
165,1,3,1,9.0,0,2,20.525,S,G,3,0
166,1,1,0,29.869351032448375,0,1,55.0,S,E,2,0
167,0,3,0,45.0,1,4,27.9,S,F,6,0
168,0,1,1,29.869351032448375,0,0,25.925,S,A,1,1
169,0,3,1,28.0,0,0,56.4958,S,E,1,1
170,0,1,1,61.0,0,0,33.5,S,B,1,1
171,0,3,1,4.0,4,1,29.125,Q,E,6,0
172,1,3,0,1.0,1,1,11.1333,S,E,3,0
174,0,1,1,56.0,0,0,30.6958,C,A,1,1
175,0,3,1,18.0,1,1,7.8542,S,G,3,0
176,0,3,1,29.869351032448375,3,1,25.4667,S,E,5,0
177,0,1,0,50.0,0,0,28.7125,C,C,1,1
178,0,2,1,30.0,0,0,13.0,S,E,1,1
179,0,3,1,36.0,0,0,0.0,S,G,1,1
180,0,3,0,29.869351032448375,8,2,69.55,S,E,11,0
181,0,2,1,29.869351032448375,0,0,15.05,C,E,1,1
182,0,3,1,9.0,4,2,31.3875,S,F,7,0
183,1,2,1,1.0,2,1,39.0,S,F,4,0
184,1,3,0,4.0,0,2,22.025,S,G,3,0
185,0,1,1,29.869351032448375,0,0,50.0,S,A,1,1
186,1,3,0,29.869351032448375,1,0,15.5,Q,F,2,0
187,1,1,1,45.0,0,0,26.55,S,C,1,1
188,0,3,1,40.0,1,1,15.5,Q,F,3,0
189,0,3,1,36.0,0,0,7.8958,S,G,1,1
190,1,2,0,32.0,0,0,13.0,S,D,1,1
191,0,2,1,19.0,0,0,13.0,S,D,1,1
192,1,3,0,19.0,1,0,7.8542,S,G,2,0
193,1,2,1,3.0,1,1,26.0,S,F,3,0
194,1,1,0,44.0,0,0,27.7208,C,B,1,1
195,1,1,0,58.0,0,0,146.5208,C,B,1,1
197,0,3,1,42.0,0,1,8.4042,S,G,2,0
199,0,2,0,24.0,0,0,13.0,S,E,1,1
200,0,3,1,28.0,0,0,9.5,S,G,1,1
202,0,3,1,34.0,0,0,6.4958,S,F,1,1
203,0,3,1,45.5,0,0,7.225,C,E,1,1
204,1,3,1,18.0,0,0,8.05,S,F,1,1
205,0,3,0,2.0,0,1,10.4625,S,G,2,0
206,0,3,1,32.0,1,0,15.85,S,F,2,0
207,1,3,1,26.0,0,0,18.7875,C,E,1,1
208,1,3,0,16.0,0,0,7.75,Q,F,1,1
209,1,1,1,40.0,0,0,31.0,C,A,1,1
210,0,3,1,24.0,0,0,7.05,S,E,1,1
211,1,2,0,35.0,0,0,21.0,S,E,1,1
212,0,3,1,22.0,0,0,7.25,S,G,1,1
214,0,3,1,29.869351032448375,1,0,7.75,Q,E,2,0
215,1,1,0,31.0,1,0,113.275,C,D,2,0
216,1,3,0,27.0,0,0,7.925,S,G,1,1
217,0,2,1,42.0,1,0,27.0,S,D,2,0
218,1,1,0,32.0,0,0,76.2917,C,D,1,1
219,0,2,1,30.0,0,0,10.5,S,E,1,1
220,1,3,1,16.0,0,0,8.05,S,G,1,1
221,0,2,1,27.0,0,0,13.0,S,D,1,1
222,0,3,1,51.0,0,0,8.05,S,E,1,1
224,1,1,1,38.0,1,0,90.0,S,C,2,0
225,0,3,1,22.0,0,0,9.35,S,F,1,1
226,1,2,1,19.0,0,0,10.5,S,D,1,1
227,0,3,1,20.5,0,0,7.25,S,G,1,1
228,0,2,1,18.0,0,0,13.0,S,D,1,1
229,0,3,0,29.869351032448375,3,1,25.4667,S,G,5,0
230,1,1,0,35.0,1,0,83.475,S,C,2,0
231,0,3,1,29.0,0,0,7.775,S,F,1,1
232,0,2,1,59.0,0,0,13.5,S,E,1,1
233,1,3,0,5.0,4,2,31.3875,S,E,7,0
234,0,2,1,24.0,0,0,10.5,S,D,1,1
235,0,3,0,29.869351032448375,0,0,7.55,S,F,1,1
236,0,2,1,44.0,1,0,26.0,S,E,2,0
237,1,2,0,8.0,0,2,26.25,S,D,3,0
238,0,2,1,19.0,0,0,10.5,S,D,1,1
239,0,2,1,33.0,0,0,12.275,S,D,1,1
240,0,3,0,29.869351032448375,1,0,14.4542,C,G,2,0
242,0,2,1,29.0,0,0,10.5,S,D,1,1
243,0,3,1,22.0,0,0,7.125,S,E,1,1
244,0,3,1,30.0,0,0,7.225,C,G,1,1
245,0,1,1,44.0,2,0,90.0,Q,C,3,0
246,0,3,0,25.0,0,0,7.775,S,F,1,1
247,1,2,0,24.0,0,2,14.5,S,D,3,0
248,1,1,1,37.0,1,1,52.5542,S,D,3,0
249,0,2,1,54.0,1,0,26.0,S,D,2,0
250,0,3,1,29.869351032448375,0,0,7.25,S,E,1,1
251,0,3,0,29.0,1,1,10.4625,S,G,3,0
252,0,1,1,62.0,0,0,26.55,S,C,1,1
253,0,3,1,30.0,1,0,16.1,S,G,2,0
254,0,3,0,41.0,0,2,20.2125,S,F,3,0
255,1,3,0,29.0,0,2,15.2458,C,G,3,0
256,1,1,0,29.869351032448375,0,0,79.2,C,A,1,1
257,1,1,0,30.0,0,0,86.5,S,B,1,1
258,1,1,0,35.0,0,0,512.3292,C,B,1,1
259,1,2,0,50.0,0,1,26.0,S,E,2,0
261,1,3,1,3.0,4,2,31.3875,S,E,7,0
262,0,1,1,52.0,1,1,79.65,S,E,3,0
263,0,1,1,40.0,0,0,0.0,S,B,1,1
264,0,3,0,29.869351032448375,0,0,7.75,Q,G,1,1
265,0,2,1,36.0,0,0,10.5,S,D,1,1
266,0,3,1,16.0,4,1,39.6875,S,G,6,0
267,1,3,1,25.0,1,0,7.775,S,F,2,0
268,1,1,0,58.0,0,1,153.4625,S,C,2,0
269,1,1,0,35.0,0,0,135.6333,S,C,1,1
270,0,1,1,29.869351032448375,0,0,31.0,S,B,1,1
271,1,3,1,25.0,0,0,0.0,S,G,1,1
272,1,2,0,41.0,0,1,19.5,S,E,2,0
273,0,1,1,37.0,0,1,29.7,C,C,2,0
275,1,1,0,63.0,1,0,77.9583,S,D,2,0
276,0,3,0,45.0,0,0,7.75,S,F,1,1
277,0,2,1,29.869351032448375,0,0,0.0,S,E,1,1
278,0,3,1,7.0,4,1,29.125,Q,E,6,0
279,1,3,0,35.0,1,1,20.25,S,E,3,0
280,0,3,1,65.0,0,0,7.75,Q,E,1,1
281,0,3,1,28.0,0,0,7.8542,S,E,1,1
282,0,3,1,16.0,0,0,9.5,S,F,1,1
283,1,3,1,19.0,0,0,8.05,S,E,1,1
284,0,1,1,29.869351032448375,0,0,26.0,S,A,1,1
285,0,3,1,33.0,0,0,8.6625,C,G,1,1
286,1,3,1,30.0,0,0,9.5,S,G,1,1
287,0,3,1,22.0,0,0,7.8958,S,E,1,1
288,1,2,1,42.0,0,0,13.0,S,D,1,1
289,1,3,0,22.0,0,0,7.75,Q,E,1,1
290,1,1,0,26.0,0,0,78.85,S,A,1,1
291,1,1,0,19.0,1,0,91.0792,C,B,2,0
292,0,2,1,36.0,0,0,12.875,C,D,1,1
293,0,3,0,24.0,0,0,8.85,S,G,1,1
294,0,3,1,24.0,0,0,7.8958,S,G,1,1
296,0,3,1,23.5,0,0,7.2292,C,E,1,1
297,0,1,0,2.0,1,2,151.55,S,C,4,0
298,1,1,1,29.869351032448375,0,0,30.5,S,C,1,1
299,1,1,0,50.0,0,1,247.5208,C,B,2,0
301,1,3,1,29.869351032448375,2,0,23.25,Q,E,3,0
302,0,3,1,19.0,0,0,0.0,S,E,1,1
303,1,2,0,29.869351032448375,0,0,12.35,Q,E,1,1
305,1,1,1,0.92,1,2,151.55,S,C,4,0
306,1,1,0,29.869351032448375,0,0,110.8833,C,A,1,1
307,1,1,0,17.0,1,0,108.9,C,C,2,0
308,0,2,1,30.0,1,0,24.0,C,E,2,0
309,1,1,0,30.0,0,0,56.9292,C,E,1,1
310,1,1,0,24.0,0,0,83.1583,C,C,1,1
311,1,1,0,18.0,2,2,262.375,C,B,5,0
312,0,2,0,26.0,1,1,26.0,S,D,3,0
314,0,2,1,43.0,1,1,26.25,S,D,3,0
315,1,3,0,26.0,0,0,7.8542,S,F,1,1
316,1,2,0,24.0,1,0,26.0,S,E,2,0
317,0,2,1,54.0,0,0,14.0,S,D,1,1
318,1,1,0,31.0,0,2,164.8667,S,C,3,0
319,1,1,0,40.0,1,1,134.5,C,E,3,0
321,0,3,1,27.0,0,0,7.8958,S,G,1,1
322,1,2,0,30.0,0,0,12.35,Q,D,1,1
323,1,2,0,22.0,1,1,29.0,S,E,3,0
325,1,1,0,36.0,0,0,135.6333,C,C,1,1
326,0,3,1,61.0,0,0,6.2375,S,E,1,1
327,1,2,0,36.0,0,0,13.0,S,D,1,1
328,1,3,0,31.0,1,1,20.525,S,F,3,0
329,1,1,0,16.0,0,1,57.9792,C,B,2,0
330,1,3,0,29.869351032448375,2,0,23.25,Q,F,3,0
331,0,1,1,45.5,0,0,28.5,S,C,1,1
332,0,1,1,38.0,0,1,153.4625,S,C,2,0
333,0,3,1,16.0,2,0,18.0,S,E,3,0
334,1,1,0,29.869351032448375,1,0,133.65,S,A,2,0
336,0,1,1,29.0,1,0,66.6,S,C,2,0
337,1,1,0,41.0,0,0,134.5,C,E,1,1
338,1,3,1,45.0,0,0,8.05,S,E,1,1
339,0,1,1,45.0,0,0,35.5,S,C,1,1
340,1,2,1,2.0,1,1,26.0,S,F,3,0
341,1,1,0,24.0,3,2,263.0,S,C,6,0
342,0,2,1,28.0,0,0,13.0,S,E,1,1
344,0,2,1,36.0,0,0,13.0,S,E,1,1
345,1,2,0,24.0,0,0,13.0,S,F,1,1
346,1,2,0,40.0,0,0,13.0,S,E,1,1
347,1,3,0,29.869351032448375,1,0,16.1,S,F,2,0
348,1,3,1,3.0,1,1,15.9,S,F,3,0
349,0,3,1,42.0,0,0,8.6625,S,G,1,1
350,0,3,1,23.0,0,0,9.225,S,E,1,1
351,0,1,1,29.869351032448375,0,0,35.0,S,C,1,1
352,0,3,1,15.0,1,1,7.2292,C,G,3,0
353,0,3,1,25.0,1,0,17.8,S,G,2,0
356,1,1,0,22.0,0,1,55.0,S,E,2,0
357,0,2,0,38.0,0,0,13.0,S,D,1,1
360,0,3,1,40.0,1,4,27.9,S,E,6,0
361,0,2,1,29.0,1,0,27.7208,C,E,2,0
362,0,3,0,45.0,0,1,14.4542,C,G,2,0
363,0,3,1,35.0,0,0,7.05,S,F,1,1
365,0,3,1,30.0,0,0,7.25,S,E,1,1
366,1,1,0,60.0,1,0,75.25,C,D,2,0
367,1,3,0,29.869351032448375,0,0,7.2292,C,E,1,1
369,1,1,0,24.0,0,0,69.3,C,B,1,1
370,1,1,1,25.0,1,0,55.4417,C,E,2,0
371,0,3,1,18.0,1,0,6.4958,S,E,2,0
372,0,3,1,19.0,0,0,8.05,S,E,1,1
373,0,1,1,22.0,0,0,135.6333,C,C,1,1
374,0,3,0,3.0,3,1,21.075,S,F,5,0
375,1,1,0,29.869351032448375,1,0,82.1708,C,A,2,0
376,1,3,0,22.0,0,0,7.25,S,F,1,1
377,0,1,1,27.0,0,2,211.5,C,C,3,0
378,0,3,1,20.0,0,0,4.0125,C,E,1,1
379,0,3,1,19.0,0,0,7.775,S,F,1,1
380,1,1,0,42.0,0,0,227.525,C,B,1,1
381,1,3,0,1.0,0,2,15.7417,C,E,3,0
382,0,3,1,32.0,0,0,7.925,S,E,1,1
383,1,1,0,35.0,1,0,52.0,S,B,2,0
385,0,2,1,18.0,0,0,73.5,S,D,1,1
386,0,3,1,1.0,5,2,46.9,S,E,8,0
387,1,2,0,36.0,0,0,13.0,S,D,1,1
388,0,3,1,29.869351032448375,0,0,7.7292,Q,E,1,1
389,1,2,0,17.0,0,0,12.0,C,D,1,1
390,1,1,1,36.0,1,2,120.0,S,B,4,0
391,1,3,1,21.0,0,0,7.7958,S,E,1,1
392,0,3,1,28.0,2,0,7.925,S,F,3,0
393,1,1,0,23.0,1,0,113.275,C,D,2,0
394,1,3,0,24.0,0,2,16.7,S,G,3,0
395,0,3,1,22.0,0,0,7.7958,S,F,1,1
396,0,3,0,31.0,0,0,7.8542,S,F,1,1
397,0,2,1,46.0,0,0,26.0,S,D,1,1
398,0,2,1,23.0,0,0,10.5,S,E,1,1
399,1,2,0,28.0,0,0,12.65,S,D,1,1
400,1,3,1,39.0,0,0,7.925,S,E,1,1
401,0,3,1,26.0,0,0,8.05,S,F,1,1
402,0,3,0,21.0,1,0,9.825,S,E,2,0
403,0,3,1,28.0,1,0,15.85,S,F,2,0
404,0,3,0,20.0,0,0,8.6625,S,F,1,1
405,0,2,1,34.0,1,0,21.0,S,E,2,0
406,0,3,1,51.0,0,0,7.75,S,F,1,1
407,1,2,1,3.0,1,1,18.75,S,E,3,0
408,0,3,1,21.0,0,0,7.775,S,G,1,1
411,0,3,1,29.869351032448375,0,0,6.8583,Q,G,1,1
412,1,1,0,33.0,1,0,90.0,Q,C,2,0
414,1,3,1,44.0,0,0,7.925,S,G,1,1
415,0,3,0,29.869351032448375,0,0,8.05,S,G,1,1
416,1,2,0,34.0,1,1,32.5,S,E,3,0
417,1,2,0,18.0,0,2,13.0,S,D,3,0
419,0,3,0,10.0,0,2,24.15,S,E,3,0
421,0,3,1,21.0,0,0,7.7333,Q,F,1,1
422,0,3,1,29.0,0,0,7.875,S,E,1,1
423,0,3,0,28.0,1,1,14.4,S,E,3,0
424,0,3,1,18.0,1,1,20.2125,S,G,3,0
426,1,2,0,28.0,1,0,26.0,S,D,2,0
427,1,2,0,19.0,0,0,26.0,S,E,1,1
429,1,3,1,32.0,0,0,8.05,S,E,1,1
