,survived,pclass,sex,age,FamilySize,isAlone,embarked_C,embarked_Q,embarked_S,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,fare_log,sibsp_sqrt,parch_sqrt
0,0,3,1,22.0,2,0,False,False,True,False,False,False,False,False,False,True,2.1102132003465894,1.0,0.0
1,1,1,0,38.0,2,0,True,False,False,False,False,True,False,False,False,False,4.2805931204649,1.0,0.0
2,1,3,0,26.0,1,1,False,False,True,False,False,False,False,True,False,False,2.188856327665703,0.0,0.0
3,1,1,0,35.0,2,0,False,False,True,False,False,True,False,False,False,False,3.9908341858524357,1.0,0.0
4,0,3,1,35.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
5,0,3,1,29.869351032448375,1,1,False,True,False,False,False,False,False,False,False,True,2.246892662898172,0.0,0.0
6,0,1,1,54.0,1,1,False,False,True,False,False,False,False,True,False,False,3.967694202798607,0.0,0.0
7,0,3,1,2.0,5,0,False,False,True,False,False,False,False,False,True,False,3.0944457464900235,1.5811388300841898,1.0
8,1,3,0,27.0,3,0,False,False,True,False,False,False,False,True,False,False,2.495953738718064,0.0,1.4142135623730951
9,1,2,0,14.0,2,0,True,False,False,False,False,False,True,False,False,False,3.436268471383741,1.0,0.0
10,1,3,0,4.0,3,0,False,False,True,False,False,False,False,False,False,True,2.8735646395797834,1.0,1.0
11,1,1,0,57.0,1,1,False,False,True,False,False,True,False,False,False,False,3.3160025355989236,0.0,0.0
12,0,3,1,20.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
13,0,3,1,39.0,7,0,False,False,True,False,False,False,False,False,False,True,3.4742929367327062,1.0,1.5811388300841898
14,0,3,0,14.0,1,1,False,False,True,False,False,False,False,True,False,False,2.180891922715322,0.0,0.0
15,1,2,0,55.0,1,1,False,False,True,False,False,False,True,False,False,False,2.833213344056216,0.0,0.0
16,0,3,1,2.0,6,0,False,True,False,False,False,False,False,False,False,True,3.405355391810819,1.5811388300841898,1.0
17,1,2,1,29.869351032448375,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
18,0,3,0,31.0,2,0,False,False,True,False,False,False,False,True,False,False,2.9444389791664403,1.0,0.0
19,1,3,0,29.869351032448375,1,1,True,False,False,False,False,False,False,True,False,False,2.1071782966514356,0.0,0.0
20,0,2,1,35.0,1,1,False,False,True,False,False,False,True,False,False,False,3.295836866004329,0.0,0.0
21,1,2,1,34.0,1,1,False,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.0,0.0
22,1,3,0,15.0,1,1,False,True,False,False,False,False,False,True,False,False,2.2004637699272855,0.0,0.0
23,1,1,1,28.0,1,1,False,False,True,True,False,False,False,False,False,False,3.597312260588446,0.0,0.0
24,0,3,0,8.0,5,0,False,False,True,False,False,False,False,True,False,False,3.0944457464900235,1.5811388300841898,1.0
25,1,3,0,38.0,7,0,False,False,True,False,False,False,False,False,False,True,3.4777725458882283,1.0,1.5811388300841898
26,0,3,1,29.869351032448375,1,1,True,False,False,False,False,False,False,False,False,True,2.1071782966514356,0.0,0.0
27,0,1,1,19.0,6,0,False,False,True,False,False,True,False,False,False,False,4.306742249663978,1.5811388300841898,1.4142135623730951
28,1,3,0,29.869351032448375,1,1,False,True,False,False,False,False,False,True,False,False,2.1837114628556327,0.0,0.0
29,0,3,1,29.869351032448375,1,1,False,False,True,False,False,False,False,False,False,True,2.1855792552411137,0.0,0.0
30,0,1,1,40.0,1,1,True,False,False,True,False,False,False,False,False,False,3.357621598945279,0.0,0.0
31,1,1,0,29.869351032448375,2,0,True,False,False,False,True,False,False,False,False,False,4.306742249663978,1.0,0.0
32,1,3,0,29.869351032448375,1,1,False,True,False,False,False,False,False,False,False,True,2.169053700369523,0.0,0.0
33,0,2,1,57.0,1,1,False,False,True,False,False,False,False,True,False,False,2.4423470353692043,0.0,0.0
34,0,1,1,28.0,2,0,True,False,False,True,False,False,False,False,False,False,4.306742249663978,1.0,0.0
35,0,1,1,42.0,2,0,False,False,True,False,True,False,False,False,False,False,3.970291913552122,1.0,0.0
36,1,3,1,29.869351032448375,1,1,True,False,False,False,False,False,False,False,False,True,2.1076888046179385,0.0,0.0
37,0,3,1,21.0,1,1,False,False,True,False,False,False,False,False,True,False,2.2027647577118348,0.0,0.0
38,0,3,0,18.0,3,0,False,False,True,False,False,False,False,True,False,False,2.9444389791664403,1.4142135623730951,0.0
39,1,3,0,14.0,2,0,True,False,False,False,False,False,False,True,False,False,2.5048481563289,1.0,0.0
40,0,3,0,40.0,2,0,False,False,True,False,False,False,False,False,False,True,2.348991465808201,1.0,0.0
41,0,2,0,27.0,2,0,False,False,True,False,False,False,False,True,False,False,3.091042453358316,1.0,0.0
42,0,3,1,29.869351032448375,1,1,True,False,False,False,False,False,False,False,True,False,2.1855792552411137,0.0,0.0
43,1,2,0,3.0,4,0,True,False,False,False,False,False,False,True,False,False,3.7513658711253766,1.0,1.4142135623730951
44,1,3,0,19.0,1,1,False,True,False,False,False,False,False,True,False,False,2.1837114628556327,0.0,0.0
45,0,3,1,29.869351032448375,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
46,0,3,1,29.869351032448375,2,0,False,True,False,False,False,False,False,False,True,False,2.803360380906535,1.0,0.0
48,0,3,1,29.869351032448375,3,0,True,False,False,False,False,False,False,True,False,False,3.1214482048688246,1.4142135623730951,0.0
49,0,3,0,18.0,2,0,False,False,True,False,False,False,False,True,False,False,2.9338568698359038,1.0,0.0
50,0,3,1,7.0,6,0,False,False,True,False,False,False,False,False,True,False,3.705920919968788,1.5811388300841898,1.0
51,0,3,1,21.0,1,1,False,False,True,False,False,False,False,True,False,False,2.174751721484161,0.0,0.0
52,1,1,0,49.0,2,0,True,False,False,False,False,False,True,False,False,False,4.306742249663978,1.0,0.0
53,1,2,0,29.0,2,0,False,False,True,False,False,False,False,True,False,False,3.295836866004329,1.0,0.0
54,0,1,1,57.0,2,0,True,False,False,False,True,False,False,False,False,False,4.142804513146981,0.0,1.0
55,1,1,1,29.869351032448375,1,1,False,False,True,False,False,True,False,False,False,False,3.597312260588446,0.0,0.0
56,1,2,0,21.0,1,1,False,False,True,False,False,False,False,True,False,False,2.4423470353692043,0.0,0.0
57,0,3,1,28.5,1,1,True,False,False,False,False,False,False,False,False,True,2.1076888046179385,0.0,0.0
58,1,2,0,5.0,4,0,False,False,True,False,False,False,False,True,False,False,3.3586377672433594,1.0,1.4142135623730951
59,0,3,1,11.0,8,0,False,False,True,False,False,False,False,True,False,False,3.8691155044168695,1.5811388300841898,1.4142135623730951
60,0,3,1,22.0,1,1,True,False,False,False,False,False,False,False,False,True,2.1076888046179385,0.0,0.0
61,1,1,0,38.0,1,1,False,False,True,False,True,False,False,False,False,False,4.306742249663978,0.0,0.0
62,0,1,1,45.0,2,0,False,False,True,False,False,True,False,False,False,False,4.306742249663978,1.0,0.0
63,0,3,1,4.0,6,0,False,False,True,False,False,False,False,False,True,False,3.3638415951183864,1.5811388300841898,1.4142135623730951
64,0,1,1,29.869351032448375,1,1,True,False,False,False,False,True,False,False,False,False,3.357621598945279,0.0,0.0
65,1,3,1,29.869351032448375,3,0,True,False,False,False,False,False,False,True,False,False,2.7878344138303452,1.0,1.0
66,1,2,0,29.0,1,1,False,False,True,False,False,False,False,False,True,False,2.4423470353692043,0.0,0.0
67,0,3,1,19.0,1,1,False,False,True,False,False,False,False,False,True,False,2.2146605719425225,0.0,0.0
68,1,3,0,17.0,7,0,False,False,True,False,False,False,False,True,False,False,2.188856327665703,1.5811388300841898,1.4142135623730951
69,0,3,1,26.0,3,0,False,False,True,False,False,False,False,False,False,True,2.2682524139135403,1.4142135623730951,0.0
70,0,2,1,32.0,1,1,False,False,True,False,False,False,False,True,False,False,2.4423470353692043,0.0,0.0
71,0,3,0,16.0,8,0,False,False,True,False,False,False,False,False,False,True,3.8691155044168695,1.5811388300841898,1.4142135623730951
72,0,2,1,21.0,1,1,False,False,True,False,False,False,False,True,False,False,4.306742249663978,0.0,0.0
73,0,3,1,26.0,2,0,True,False,False,False,False,False,False,False,False,True,2.737880811060884,1.0,0.0
74,1,3,1,32.0,1,1,False,False,True,False,False,False,False,True,False,False,4.05171190165724,0.0,0.0
75,0,3,1,25.0,1,1,False,False,True,False,False,False,False,False,True,False,2.157559320943788,0.0,0.0
78,1,2,1,1.0,3,0,False,False,True,False,False,False,True,False,False,False,3.4011973816621555,0.0,1.4142135623730951
79,1,3,0,30.0,1,1,False,False,True,False,False,False,False,True,False,False,2.600836116795061,0.0,0.0
80,0,3,1,22.0,1,1,False,False,True,False,False,False,False,False,False,True,2.302585092994046,0.0,0.0
81,1,3,1,29.0,1,1,False,False,True,False,False,False,False,True,False,False,2.3513752571634776,0.0,0.0
82,1,3,0,29.869351032448375,1,1,False,True,False,False,False,False,False,False,True,False,2.1733302571367834,0.0,0.0
83,0,1,1,28.0,1,1,False,False,True,True,False,False,False,False,False,False,3.8732821771117156,0.0,0.0
84,1,2,0,17.0,1,1,False,False,True,False,False,False,True,False,False,False,2.4423470353692043,0.0,0.0
85,1,3,0,33.0,4,0,False,False,True,False,False,False,False,True,False,False,2.8243506567983707,1.5811388300841898,0.0
86,0,3,1,16.0,5,0,False,False,True,False,False,False,False,False,True,False,3.5660053559634015,1.0,1.5811388300841898
88,1,1,0,23.0,6,0,False,False,True,False,False,True,False,False,False,False,4.306742249663978,1.5811388300841898,1.4142135623730951
89,0,3,1,24.0,1,1,False,False,True,False,False,False,False,False,True,False,2.2027647577118348,0.0,0.0
90,0,3,1,29.0,1,1,False,False,True,False,False,False,False,False,True,False,2.2027647577118348,0.0,0.0
91,0,3,1,20.0,1,1,False,False,True,False,False,False,False,False,False,True,2.180891922715322,0.0,0.0
92,0,1,1,46.0,2,0,False,False,True,False,False,False,False,True,False,False,4.1299529896894684,1.0,0.0
93,0,3,1,26.0,4,0,False,False,True,False,False,False,False,False,True,False,3.0715352369694915,1.0,1.4142135623730951
94,0,3,1,57.0,1,1,False,False,True,False,False,False,False,True,False,False,2.1102132003465894,0.0,0.0
96,0,1,1,57.0,1,1,True,False,False,True,False,False,False,False,False,False,3.57386695198272,0.0,0.0
97,1,1,1,23.0,2,0,True,False,False,False,False,False,True,False,False,False,4.164465907853638,0.0,1.0
98,1,2,0,34.0,2,0,False,False,True,False,False,False,False,True,False,False,3.1780538303479458,0.0,1.0
99,0,2,1,34.0,2,0,False,False,True,False,False,False,False,True,False,False,3.295836866004329,1.0,0.0
100,0,3,0,28.0,1,1,False,False,True,False,False,False,False,True,False,False,2.1855792552411137,0.0,0.0
102,0,1,1,21.0,2,0,False,False,True,False,False,False,True,False,False,False,4.306742249663978,0.0,1.0
103,0,3,1,33.0,1,1,False,False,True,False,False,False,False,False,False,True,2.267393053825037,0.0,0.0
104,0,3,1,37.0,3,0,False,False,True,False,False,False,False,False,True,False,2.188856327665703,1.4142135623730951,0.0
105,0,3,1,28.0,1,1,False,False,True,False,False,False,False,False,False,True,2.1855792552411137,0.0,0.0
106,1,3,0,21.0,1,1,False,False,True,False,False,False,False,False,False,True,2.157559320943788,0.0,0.0
107,1,3,1,29.869351032448375,1,1,False,False,True,False,False,False,False,False,False,True,2.1719067693519296,0.0,0.0
108,0,3,1,38.0,1,1,False,False,True,False,False,False,False,True,False,False,2.1855792552411137,0.0,0.0
109,1,3,0,29.869351032448375,2,0,False,True,False,False,False,False,False,False,False,True,3.224857896545748,1.0,0.0
110,0,1,1,47.0,1,1,False,False,True,False,False,True,False,False,False,False,3.970291913552122,0.0,0.0
111,0,3,0,14.5,2,0,True,False,False,False,False,False,False,False,False,True,2.737880811060884,1.0,0.0
112,0,3,1,22.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
113,0,3,0,20.0,2,0,False,False,True,False,False,False,False,False,False,True,2.3818582738885534,1.0,0.0
114,0,3,0,17.0,1,1,True,False,False,False,False,False,False,False,False,True,2.738146075922933,0.0,0.0
115,0,3,1,21.0,1,1,False,False,True,False,False,False,False,True,False,False,2.188856327665703,0.0,0.0
116,0,3,1,57.0,1,1,False,True,False,False,False,False,False,True,False,False,2.169053700369523,0.0,0.0
117,0,2,1,29.0,2,0,False,False,True,False,False,False,False,True,False,False,3.091042453358316,1.0,0.0
118,0,1,1,24.0,2,0,True,False,False,False,True,False,False,False,False,False,4.306742249663978,0.0,1.0
119,0,3,0,2.0,7,0,False,False,True,False,False,False,False,False,True,False,3.4742929367327062,1.5811388300841898,1.4142135623730951
120,0,2,1,21.0,3,0,False,False,True,False,False,False,False,True,False,False,4.306742249663978,1.4142135623730951,0.0
122,0,2,1,32.5,2,0,True,False,False,False,False,False,True,False,False,False,3.436268471383741,1.0,0.0
123,1,2,0,32.5,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
124,0,1,1,54.0,2,0,False,False,True,False,False,False,True,False,False,False,4.306742249663978,0.0,1.0
125,1,3,1,12.0,2,0,True,False,False,False,False,False,False,False,False,True,2.5048481563289,1.0,0.0
126,0,3,1,29.869351032448375,1,1,False,True,False,False,False,False,False,False,True,False,2.169053700369523,0.0,0.0
127,1,3,1,24.0,1,1,False,False,True,False,False,False,False,True,False,False,2.0969990034181696,0.0,0.0
128,1,3,0,29.869351032448375,3,0,True,False,False,False,False,False,False,False,True,False,3.1509523813392697,1.0,1.0
129,0,3,1,45.0,1,1,False,False,True,False,False,False,False,True,False,False,2.076311648670908,0.0,0.0
130,0,3,1,33.0,1,1,True,False,False,False,False,False,False,True,False,False,2.1855792552411137,0.0,0.0
131,0,3,1,20.0,1,1,False,False,True,False,False,False,False,False,True,False,2.085672091430472,0.0,0.0
132,0,3,0,47.0,2,0,False,False,True,False,False,False,False,False,True,False,2.740840023925201,1.0,0.0
134,0,2,1,25.0,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
135,0,2,1,23.0,1,1,True,False,False,False,False,False,True,False,False,False,2.775447133088262,0.0,0.0
136,1,1,0,19.0,3,0,False,False,True,False,False,False,True,False,False,False,3.3062747934011893,0.0,1.4142135623730951
137,0,1,1,37.0,2,0,False,False,True,False,False,True,False,False,False,False,3.9908341858524357,1.0,0.0
138,0,3,1,16.0,1,1,False,False,True,False,False,False,False,True,False,False,2.3240236363515288,0.0,0.0
139,0,1,1,24.0,1,1,True,False,False,False,True,False,False,False,False,False,4.306742249663978,0.0,0.0
140,0,3,0,29.869351032448375,3,0,True,False,False,False,False,False,False,False,False,True,2.7878344138303452,0.0,1.4142135623730951
141,1,3,0,22.0,1,1,False,False,True,False,False,False,False,False,False,True,2.169053700369523,0.0,0.0
142,1,3,0,24.0,2,0,False,False,True,False,False,False,False,False,True,False,2.8243506567983707,1.0,0.0
143,0,3,1,19.0,1,1,False,True,False,False,False,False,False,True,False,False,2.0476928433652555,0.0,0.0
144,0,2,1,18.0,1,1,False,False,True,False,False,False,False,True,False,False,2.5257286443082556,0.0,0.0
145,0,2,1,19.0,3,0,False,False,True,False,False,False,False,True,False,False,3.6309854756950335,1.0,1.0
146,1,3,1,27.0,1,1,False,False,True,False,False,False,False,False,False,True,2.174274334826008,0.0,0.0
147,0,3,0,9.0,5,0,False,False,True,False,False,False,False,False,True,False,3.5660053559634015,1.4142135623730951,1.4142135623730951
148,0,2,1,36.5,3,0,False,False,True,False,False,False,False,False,True,False,3.295836866004329,0.0,1.4142135623730951
149,0,2,1,42.0,1,1,False,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.0,0.0
150,0,2,1,51.0,1,1,False,False,True,False,False,False,False,True,False,False,2.6045398247325453,0.0,0.0
151,1,1,0,22.0,2,0,False,False,True,False,False,True,False,False,False,False,4.213607983048918,1.0,0.0
152,0,3,1,55.5,1,1,False,False,True,False,False,False,False,True,False,False,2.2027647577118348,0.0,0.0
153,0,3,1,40.5,3,0,False,False,True,False,False,False,False,True,False,False,2.740840023925201,0.0,1.4142135623730951
154,0,3,1,29.869351032448375,1,1,False,False,True,False,False,False,False,False,False,True,2.1177604059819726,0.0,0.0
155,0,1,1,51.0,2,0,True,False,False,False,False,True,False,False,False,False,4.133231886474144,0.0,1.0
156,1,3,0,16.0,1,1,False,True,False,False,False,False,False,False,False,True,2.167143305297764,0.0,0.0
157,0,3,1,30.0,1,1,False,False,True,False,False,False,False,False,True,False,2.2027647577118348,0.0,0.0
158,0,3,1,29.869351032448375,1,1,False,False,True,False,False,False,False,False,False,True,2.2682524139135403,0.0,0.0
159,0,3,1,29.869351032448375,11,0,False,False,True,False,False,False,False,False,False,True,4.256321678298823,1.5811388300841898,1.4142135623730951
160,0,3,1,44.0,2,0,False,False,True,False,False,False,False,False,True,False,2.8390784635086144,0.0,1.0
161,1,2,0,40.0,1,1,False,False,True,False,False,False,False,True,False,False,2.8183982582710754,0.0,0.0
162,0,3,1,26.0,1,1,False,False,True,False,False,False,False,False,True,False,2.1719067693519296,0.0,0.0
163,0,3,1,17.0,1,1,False,False,True,False,False,False,False,True,False,False,2.2682524139135403,0.0,0.0
164,0,3,1,1.0,6,0,False,False,True,False,False,False,False,True,False,False,3.705920919968788,1.5811388300841898,1.0
165,1,3,1,9.0,3,0,False,False,True,False,False,False,False,False,False,True,3.0692150503137943,0.0,1.4142135623730951
166,1,1,0,29.869351032448375,2,0,False,False,True,False,False,False,False,True,False,False,4.02535169073515,0.0,1.0
167,0,3,0,45.0,6,0,False,False,True,False,False,False,False,False,True,False,3.3638415951183864,1.0,1.5811388300841898
168,0,1,1,29.869351032448375,1,1,False,False,True,True,False,False,False,False,False,False,3.2930552230424524,0.0,0.0
169,0,3,1,28.0,1,1,False,False,True,False,False,False,False,True,False,False,4.05171190165724,0.0,0.0
170,0,1,1,57.0,1,1,False,False,True,False,True,False,False,False,False,False,3.5409593240373143,0.0,0.0
171,0,3,1,4.0,6,0,False,True,False,False,False,False,False,True,False,False,3.405355391810819,1.5811388300841898,1.0
172,1,3,0,1.0,3,0,False,False,True,False,False,False,False,True,False,False,2.495953738718064,1.0,1.0
174,0,1,1,56.0,1,1,True,False,False,True,False,False,False,False,False,False,3.4561841799918147,0.0,0.0
175,0,3,1,18.0,3,0,False,False,True,False,False,False,False,False,False,True,2.180891922715322,1.0,1.0
176,0,3,1,29.869351032448375,5,0,False,False,True,False,False,False,False,True,False,False,3.275887339030031,1.5811388300841898,1.0
177,0,1,0,50.0,1,1,True,False,False,False,False,True,False,False,False,False,3.391567832686312,0.0,0.0
178,0,2,1,30.0,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
179,0,3,1,36.0,1,1,False,False,True,False,False,False,False,False,False,True,0.0,0.0,0.0
180,0,3,0,29.869351032448375,11,0,False,False,True,False,False,False,False,True,False,False,4.256321678298823,1.5811388300841898,1.4142135623730951
181,0,2,1,29.869351032448375,1,1,True,False,False,False,False,False,False,True,False,False,2.775708849576025,0.0,0.0
182,0,3,1,9.0,7,0,False,False,True,False,False,False,False,False,True,False,3.4777725458882283,1.5811388300841898,1.4142135623730951
183,1,2,1,1.0,4,0,False,False,True,False,False,False,False,False,True,False,3.6888794541139363,1.4142135623730951,1.0
184,1,3,0,4.0,3,0,False,False,True,False,False,False,False,False,False,True,3.1365805821413706,0.0,1.4142135623730951
185,0,1,1,29.869351032448375,1,1,False,False,True,True,False,False,False,False,False,False,3.9318256327243257,0.0,0.0
186,1,3,0,29.869351032448375,2,0,False,True,False,False,False,False,False,False,True,False,2.803360380906535,1.0,0.0
187,1,1,1,45.0,1,1,False,False,True,False,False,True,False,False,False,False,3.3160025355989236,0.0,0.0
188,0,3,1,40.0,3,0,False,True,False,False,False,False,False,False,True,False,2.803360380906535,1.0,1.0
189,0,3,1,36.0,1,1,False,False,True,False,False,False,False,False,False,True,2.1855792552411137,0.0,0.0
190,1,2,0,32.0,1,1,False,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.0,0.0
191,0,2,1,19.0,1,1,False,False,True,False,False,False,True,False,False,False,2.6390573296152584,0.0,0.0
192,1,3,0,19.0,2,0,False,False,True,False,False,False,False,False,False,True,2.180891922715322,1.0,0.0
193,1,2,1,3.0,3,0,False,False,True,False,False,False,False,False,True,False,3.295836866004329,1.0,1.0
194,1,1,0,44.0,1,1,True,False,False,False,True,False,False,False,False,False,3.357621598945279,0.0,0.0
195,1,1,0,57.0,1,1,True,False,False,False,True,False,False,False,False,False,4.306742249663978,0.0,0.0
197,0,3,1,42.0,2,0,False,False,True,False,False,False,False,False,False,True,2.2411563979973974,0.0,1.0
199,0,2,0,24.0,1,1,False,False,True,False,False,False,False,True,False,False,2.6390573296152584,0.0,0.0
200,0,3,1,28.0,1,1,False,False,True,False,False,False,False,False,False,True,2.3513752571634776,0.0,0.0
202,0,3,1,34.0,1,1,False,False,True,False,False,False,False,False,True,False,2.0143428636837015,0.0,0.0
203,0,3,1,45.5,1,1,True,False,False,False,False,False,False,True,False,False,2.1071782966514356,0.0,0.0
