,survived,pclass,sex,age,sibsp,parch,fare,FamilySize,isAlone,embarked_C,embarked_Q,embarked_S,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G
0,0,3,1,22.0,1,0,7.25,2,0,False,False,True,False,False,False,False,False,False,True
1,1,1,0,38.0,1,0,71.2833,2,0,True,False,False,False,False,True,False,False,False,False
2,1,3,0,26.0,0,0,7.925,1,1,False,False,True,False,False,False,False,True,False,False
3,1,1,0,35.0,1,0,53.1,2,0,False,False,True,False,False,True,False,False,False,False
4,0,3,1,35.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
5,0,3,1,29.869351032448375,0,0,8.4583,1,1,False,True,False,False,False,False,False,False,False,True
6,0,1,1,54.0,0,0,51.8625,1,1,False,False,True,False,False,False,False,True,False,False
7,0,3,1,2.0,3,1,21.075,5,0,False,False,True,False,False,False,False,False,True,False
8,1,3,0,27.0,0,2,11.1333,3,0,False,False,True,False,False,False,False,True,False,False
9,1,2,0,14.0,1,0,30.0708,2,0,True,False,False,False,False,False,True,False,False,False
10,1,3,0,4.0,1,1,16.7,3,0,False,False,True,False,False,False,False,False,False,True
11,1,1,0,58.0,0,0,26.55,1,1,False,False,True,False,False,True,False,False,False,False
12,0,3,1,20.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
13,0,3,1,39.0,1,5,31.275,7,0,False,False,True,False,False,False,False,False,False,True
14,0,3,0,14.0,0,0,7.8542,1,1,False,False,True,False,False,False,False,True,False,False
15,1,2,0,55.0,0,0,16.0,1,1,False,False,True,False,False,False,True,False,False,False
16,0,3,1,2.0,4,1,29.125,6,0,False,True,False,False,False,False,False,False,False,True
17,1,2,1,29.869351032448375,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
18,0,3,0,31.0,1,0,18.0,2,0,False,False,True,False,False,False,False,True,False,False
19,1,3,0,29.869351032448375,0,0,7.225,1,1,True,False,False,False,False,False,False,True,False,False
20,0,2,1,35.0,0,0,26.0,1,1,False,False,True,False,False,False,True,False,False,False
21,1,2,1,34.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
22,1,3,0,15.0,0,0,8.0292,1,1,False,True,False,False,False,False,False,True,False,False
23,1,1,1,28.0,0,0,35.5,1,1,False,False,True,True,False,False,False,False,False,False
24,0,3,0,8.0,3,1,21.075,5,0,False,False,True,False,False,False,False,True,False,False
25,1,3,0,38.0,1,5,31.3875,7,0,False,False,True,False,False,False,False,False,False,True
26,0,3,1,29.869351032448375,0,0,7.225,1,1,True,False,False,False,False,False,False,False,False,True
27,0,1,1,19.0,3,2,263.0,6,0,False,False,True,False,False,True,False,False,False,False
28,1,3,0,29.869351032448375,0,0,7.8792,1,1,False,True,False,False,False,False,False,True,False,False
29,0,3,1,29.869351032448375,0,0,7.8958,1,1,False,False,True,False,False,False,False,False,False,True
30,0,1,1,40.0,0,0,27.7208,1,1,True,False,False,True,False,False,False,False,False,False
31,1,1,0,29.869351032448375,1,0,146.5208,2,0,True,False,False,False,True,False,False,False,False,False
32,1,3,0,29.869351032448375,0,0,7.75,1,1,False,True,False,False,False,False,False,False,False,True
33,0,2,1,66.0,0,0,10.5,1,1,False,False,True,False,False,False,False,True,False,False
34,0,1,1,28.0,1,0,82.1708,2,0,True,False,False,True,False,False,False,False,False,False
35,0,1,1,42.0,1,0,52.0,2,0,False,False,True,False,True,False,False,False,False,False
36,1,3,1,29.869351032448375,0,0,7.2292,1,1,True,False,False,False,False,False,False,False,False,True
37,0,3,1,21.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
38,0,3,0,18.0,2,0,18.0,3,0,False,False,True,False,False,False,False,True,False,False
39,1,3,0,14.0,1,0,11.2417,2,0,True,False,False,False,False,False,False,True,False,False
40,0,3,0,40.0,1,0,9.475,2,0,False,False,True,False,False,False,False,False,False,True
41,0,2,0,27.0,1,0,21.0,2,0,False,False,True,False,False,False,False,True,False,False
42,0,3,1,29.869351032448375,0,0,7.8958,1,1,True,False,False,False,False,False,False,False,True,False
43,1,2,0,3.0,1,2,41.5792,4,0,True,False,False,False,False,False,False,True,False,False
44,1,3,0,19.0,0,0,7.8792,1,1,False,True,False,False,False,False,False,True,False,False
45,0,3,1,29.869351032448375,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
46,0,3,1,29.869351032448375,1,0,15.5,2,0,False,True,False,False,False,False,False,False,True,False
48,0,3,1,29.869351032448375,2,0,21.6792,3,0,True,False,False,False,False,False,False,True,False,False
49,0,3,0,18.0,1,0,17.8,2,0,False,False,True,False,False,False,False,True,False,False
50,0,3,1,7.0,4,1,39.6875,6,0,False,False,True,False,False,False,False,False,True,False
51,0,3,1,21.0,0,0,7.8,1,1,False,False,True,False,False,False,False,True,False,False
52,1,1,0,49.0,1,0,76.7292,2,0,True,False,False,False,False,False,True,False,False,False
53,1,2,0,29.0,1,0,26.0,2,0,False,False,True,False,False,False,False,True,False,False
54,0,1,1,65.0,0,1,61.9792,2,0,True,False,False,False,True,False,False,False,False,False
55,1,1,1,29.869351032448375,0,0,35.5,1,1,False,False,True,False,False,True,False,False,False,False
56,1,2,0,21.0,0,0,10.5,1,1,False,False,True,False,False,False,False,True,False,False
57,0,3,1,28.5,0,0,7.2292,1,1,True,False,False,False,False,False,False,False,False,True
58,1,2,0,5.0,1,2,27.75,4,0,False,False,True,False,False,False,False,True,False,False
59,0,3,1,11.0,5,2,46.9,8,0,False,False,True,False,False,False,False,True,False,False
60,0,3,1,22.0,0,0,7.2292,1,1,True,False,False,False,False,False,False,False,False,True
61,1,1,0,38.0,0,0,80.0,1,1,False,False,True,False,True,False,False,False,False,False
62,0,1,1,45.0,1,0,83.475,2,0,False,False,True,False,False,True,False,False,False,False
63,0,3,1,4.0,3,2,27.9,6,0,False,False,True,False,False,False,False,False,True,False
64,0,1,1,29.869351032448375,0,0,27.7208,1,1,True,False,False,False,False,True,False,False,False,False
65,1,3,1,29.869351032448375,1,1,15.2458,3,0,True,False,False,False,False,False,False,True,False,False
66,1,2,0,29.0,0,0,10.5,1,1,False,False,True,False,False,False,False,False,True,False
67,0,3,1,19.0,0,0,8.1583,1,1,False,False,True,False,False,False,False,False,True,False
68,1,3,0,17.0,4,2,7.925,7,0,False,False,True,False,False,False,False,True,False,False
69,0,3,1,26.0,2,0,8.6625,3,0,False,False,True,False,False,False,False,False,False,True
70,0,2,1,32.0,0,0,10.5,1,1,False,False,True,False,False,False,False,True,False,False
71,0,3,0,16.0,5,2,46.9,8,0,False,False,True,False,False,False,False,False,False,True
72,0,2,1,21.0,0,0,73.5,1,1,False,False,True,False,False,False,False,True,False,False
73,0,3,1,26.0,1,0,14.4542,2,0,True,False,False,False,False,False,False,False,False,True
74,1,3,1,32.0,0,0,56.4958,1,1,False,False,True,False,False,False,False,True,False,False
75,0,3,1,25.0,0,0,7.65,1,1,False,False,True,False,False,False,False,False,True,False
78,1,2,1,0.83,0,2,29.0,3,0,False,False,True,False,False,False,True,False,False,False
79,1,3,0,30.0,0,0,12.475,1,1,False,False,True,False,False,False,False,True,False,False
80,0,3,1,22.0,0,0,9.0,1,1,False,False,True,False,False,False,False,False,False,True
81,1,3,1,29.0,0,0,9.5,1,1,False,False,True,False,False,False,False,True,False,False
82,1,3,0,29.869351032448375,0,0,7.7875,1,1,False,True,False,False,False,False,False,False,True,False
83,0,1,1,28.0,0,0,47.1,1,1,False,False,True,True,False,False,False,False,False,False
84,1,2,0,17.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
85,1,3,0,33.0,3,0,15.85,4,0,False,False,True,False,False,False,False,True,False,False
86,0,3,1,16.0,1,3,34.375,5,0,False,False,True,False,False,False,False,False,True,False
88,1,1,0,23.0,3,2,263.0,6,0,False,False,True,False,False,True,False,False,False,False
89,0,3,1,24.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
90,0,3,1,29.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
91,0,3,1,20.0,0,0,7.8542,1,1,False,False,True,False,False,False,False,False,False,True
92,0,1,1,46.0,1,0,61.175,2,0,False,False,True,False,False,False,False,True,False,False
93,0,3,1,26.0,1,2,20.575,4,0,False,False,True,False,False,False,False,False,True,False
94,0,3,1,59.0,0,0,7.25,1,1,False,False,True,False,False,False,False,True,False,False
96,0,1,1,71.0,0,0,34.6542,1,1,True,False,False,True,False,False,False,False,False,False
97,1,1,1,23.0,0,1,63.3583,2,0,True,False,False,False,False,False,True,False,False,False
98,1,2,0,34.0,0,1,23.0,2,0,False,False,True,False,False,False,False,True,False,False
99,0,2,1,34.0,1,0,26.0,2,0,False,False,True,False,False,False,False,True,False,False
100,0,3,0,28.0,0,0,7.8958,1,1,False,False,True,False,False,False,False,True,False,False
102,0,1,1,21.0,0,1,77.2875,2,0,False,False,True,False,False,False,True,False,False,False
103,0,3,1,33.0,0,0,8.6542,1,1,False,False,True,False,False,False,False,False,False,True
104,0,3,1,37.0,2,0,7.925,3,0,False,False,True,False,False,False,False,False,True,False
105,0,3,1,28.0,0,0,7.8958,1,1,False,False,True,False,False,False,False,False,False,True
106,1,3,0,21.0,0,0,7.65,1,1,False,False,True,False,False,False,False,False,False,True
107,1,3,1,29.869351032448375,0,0,7.775,1,1,False,False,True,False,False,False,False,False,False,True
108,0,3,1,38.0,0,0,7.8958,1,1,False,False,True,False,False,False,False,True,False,False
109,1,3,0,29.869351032448375,1,0,24.15,2,0,False,True,False,False,False,False,False,False,False,True
110,0,1,1,47.0,0,0,52.0,1,1,False,False,True,False,False,True,False,False,False,False
111,0,3,0,14.5,1,0,14.4542,2,0,True,False,False,False,False,False,False,False,False,True
112,0,3,1,22.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
113,0,3,0,20.0,1,0,9.825,2,0,False,False,True,False,False,False,False,False,False,True
114,0,3,0,17.0,0,0,14.4583,1,1,True,False,False,False,False,False,False,False,False,True
115,0,3,1,21.0,0,0,7.925,1,1,False,False,True,False,False,False,False,True,False,False
116,0,3,1,70.5,0,0,7.75,1,1,False,True,False,False,False,False,False,True,False,False
117,0,2,1,29.0,1,0,21.0,2,0,False,False,True,False,False,False,False,True,False,False
118,0,1,1,24.0,0,1,247.5208,2,0,True,False,False,False,True,False,False,False,False,False
119,0,3,0,2.0,4,2,31.275,7,0,False,False,True,False,False,False,False,False,True,False
120,0,2,1,21.0,2,0,73.5,3,0,False,False,True,False,False,False,False,True,False,False
122,0,2,1,32.5,1,0,30.0708,2,0,True,False,False,False,False,False,True,False,False,False
123,1,2,0,32.5,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
124,0,1,1,54.0,0,1,77.2875,2,0,False,False,True,False,False,False,True,False,False,False
125,1,3,1,12.0,1,0,11.2417,2,0,True,False,False,False,False,False,False,False,False,True
126,0,3,1,29.869351032448375,0,0,7.75,1,1,False,True,False,False,False,False,False,False,True,False
127,1,3,1,24.0,0,0,7.1417,1,1,False,False,True,False,False,False,False,True,False,False
128,1,3,0,29.869351032448375,1,1,22.3583,3,0,True,False,False,False,False,False,False,False,True,False
129,0,3,1,45.0,0,0,6.975,1,1,False,False,True,False,False,False,False,True,False,False
130,0,3,1,33.0,0,0,7.8958,1,1,True,False,False,False,False,False,False,True,False,False
131,0,3,1,20.0,0,0,7.05,1,1,False,False,True,False,False,False,False,False,True,False
132,0,3,0,47.0,1,0,14.5,2,0,False,False,True,False,False,False,False,False,True,False
134,0,2,1,25.0,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
135,0,2,1,23.0,0,0,15.0458,1,1,True,False,False,False,False,False,True,False,False,False
136,1,1,0,19.0,0,2,26.2833,3,0,False,False,True,False,False,False,True,False,False,False
137,0,1,1,37.0,1,0,53.1,2,0,False,False,True,False,False,True,False,False,False,False
138,0,3,1,16.0,0,0,9.2167,1,1,False,False,True,False,False,False,False,True,False,False
139,0,1,1,24.0,0,0,79.2,1,1,True,False,False,False,True,False,False,False,False,False
140,0,3,0,29.869351032448375,0,2,15.2458,3,0,True,False,False,False,False,False,False,False,False,True
141,1,3,0,22.0,0,0,7.75,1,1,False,False,True,False,False,False,False,False,False,True
142,1,3,0,24.0,1,0,15.85,2,0,False,False,True,False,False,False,False,False,True,False
143,0,3,1,19.0,0,0,6.75,1,1,False,True,False,False,False,False,False,True,False,False
144,0,2,1,18.0,0,0,11.5,1,1,False,False,True,False,False,False,False,True,False,False
145,0,2,1,19.0,1,1,36.75,3,0,False,False,True,False,False,False,False,True,False,False
146,1,3,1,27.0,0,0,7.7958,1,1,False,False,True,False,False,False,False,False,False,True
147,0,3,0,9.0,2,2,34.375,5,0,False,False,True,False,False,False,False,False,True,False
148,0,2,1,36.5,0,2,26.0,3,0,False,False,True,False,False,False,False,False,True,False
149,0,2,1,42.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
150,0,2,1,51.0,0,0,12.525,1,1,False,False,True,False,False,False,False,True,False,False
151,1,1,0,22.0,1,0,66.6,2,0,False,False,True,False,False,True,False,False,False,False
152,0,3,1,55.5,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
153,0,3,1,40.5,0,2,14.5,3,0,False,False,True,False,False,False,False,True,False,False
154,0,3,1,29.869351032448375,0,0,7.3125,1,1,False,False,True,False,False,False,False,False,False,True
155,0,1,1,51.0,0,1,61.3792,2,0,True,False,False,False,False,True,False,False,False,False
156,1,3,0,16.0,0,0,7.7333,1,1,False,True,False,False,False,False,False,False,False,True
157,0,3,1,30.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
158,0,3,1,29.869351032448375,0,0,8.6625,1,1,False,False,True,False,False,False,False,False,False,True
159,0,3,1,29.869351032448375,8,2,69.55,11,0,False,False,True,False,False,False,False,False,False,True
160,0,3,1,44.0,0,1,16.1,2,0,False,False,True,False,False,False,False,False,True,False
161,1,2,0,40.0,0,0,15.75,1,1,False,False,True,False,False,False,False,True,False,False
162,0,3,1,26.0,0,0,7.775,1,1,False,False,True,False,False,False,False,False,True,False
163,0,3,1,17.0,0,0,8.6625,1,1,False,False,True,False,False,False,False,True,False,False
164,0,3,1,1.0,4,1,39.6875,6,0,False,False,True,False,False,False,False,True,False,False
165,1,3,1,9.0,0,2,20.525,3,0,False,False,True,False,False,False,False,False,False,True
166,1,1,0,29.869351032448375,0,1,55.0,2,0,False,False,True,False,False,False,False,True,False,False
167,0,3,0,45.0,1,4,27.9,6,0,False,False,True,False,False,False,False,False,True,False
168,0,1,1,29.869351032448375,0,0,25.925,1,1,False,False,True,True,False,False,False,False,False,False
169,0,3,1,28.0,0,0,56.4958,1,1,False,False,True,False,False,False,False,True,False,False
170,0,1,1,61.0,0,0,33.5,1,1,False,False,True,False,True,False,False,False,False,False
171,0,3,1,4.0,4,1,29.125,6,0,False,True,False,False,False,False,False,True,False,False
172,1,3,0,1.0,1,1,11.1333,3,0,False,False,True,False,False,False,False,True,False,False
174,0,1,1,56.0,0,0,30.6958,1,1,True,False,False,True,False,False,False,False,False,False
175,0,3,1,18.0,1,1,7.8542,3,0,False,False,True,False,False,False,False,False,False,True
176,0,3,1,29.869351032448375,3,1,25.4667,5,0,False,False,True,False,False,False,False,True,False,False
177,0,1,0,50.0,0,0,28.7125,1,1,True,False,False,False,False,True,False,False,False,False
178,0,2,1,30.0,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
179,0,3,1,36.0,0,0,0.0,1,1,False,False,True,False,False,False,False,False,False,True
180,0,3,0,29.869351032448375,8,2,69.55,11,0,False,False,True,False,False,False,False,True,False,False
181,0,2,1,29.869351032448375,0,0,15.05,1,1,True,False,False,False,False,False,False,True,False,False
182,0,3,1,9.0,4,2,31.3875,7,0,False,False,True,False,False,False,False,False,True,False
183,1,2,1,1.0,2,1,39.0,4,0,False,False,True,False,False,False,False,False,True,False
184,1,3,0,4.0,0,2,22.025,3,0,False,False,True,False,False,False,False,False,False,True
185,0,1,1,29.869351032448375,0,0,50.0,1,1,False,False,True,True,False,False,False,False,False,False
186,1,3,0,29.869351032448375,1,0,15.5,2,0,False,True,False,False,False,False,False,False,True,False
187,1,1,1,45.0,0,0,26.55,1,1,False,False,True,False,False,True,False,False,False,False
188,0,3,1,40.0,1,1,15.5,3,0,False,True,False,False,False,False,False,False,True,False
189,0,3,1,36.0,0,0,7.8958,1,1,False,False,True,False,False,False,False,False,False,True
190,1,2,0,32.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
191,0,2,1,19.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
192,1,3,0,19.0,1,0,7.8542,2,0,False,False,True,False,False,False,False,False,False,True
193,1,2,1,3.0,1,1,26.0,3,0,False,False,True,False,False,False,False,False,True,False
194,1,1,0,44.0,0,0,27.7208,1,1,True,False,False,False,True,False,False,False,False,False
195,1,1,0,58.0,0,0,146.5208,1,1,True,False,False,False,True,False,False,False,False,False
197,0,3,1,42.0,0,1,8.4042,2,0,False,False,True,False,False,False,False,False,False,True
199,0,2,0,24.0,0,0,13.0,1,1,False,False,True,False,False,False,False,True,False,False
200,0,3,1,28.0,0,0,9.5,1,1,False,False,True,False,False,False,False,False,False,True
202,0,3,1,34.0,0,0,6.4958,1,1,False,False,True,False,False,False,False,False,True,False
203,0,3,1,45.5,0,0,7.225,1,1,True,False,False,False,False,False,False,True,False,False
204,1,3,1,18.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,True,False
205,0,3,0,2.0,0,1,10.4625,2,0,False,False,True,False,False,False,False,False,False,True
206,0,3,1,32.0,1,0,15.85,2,0,False,False,True,False,False,False,False,False,True,False
207,1,3,1,26.0,0,0,18.7875,1,1,True,False,False,False,False,False,False,True,False,False
208,1,3,0,16.0,0,0,7.75,1,1,False,True,False,False,False,False,False,False,True,False
209,1,1,1,40.0,0,0,31.0,1,1,True,False,False,True,False,False,False,False,False,False
210,0,3,1,24.0,0,0,7.05,1,1,False,False,True,False,False,False,False,True,False,False
211,1,2,0,35.0,0,0,21.0,1,1,False,False,True,False,False,False,False,True,False,False
212,0,3,1,22.0,0,0,7.25,1,1,False,False,True,False,False,False,False,False,False,True
214,0,3,1,29.869351032448375,1,0,7.75,2,0,False,True,False,False,False,False,False,True,False,False
215,1,1,0,31.0,1,0,113.275,2,0,True,False,False,False,False,False,True,False,False,False
216,1,3,0,27.0,0,0,7.925,1,1,False,False,True,False,False,False,False,False,False,True
217,0,2,1,42.0,1,0,27.0,2,0,False,False,True,False,False,False,True,False,False,False
218,1,1,0,32.0,0,0,76.2917,1,1,True,False,False,False,False,False,True,False,False,False
219,0,2,1,30.0,0,0,10.5,1,1,False,False,True,False,False,False,False,True,False,False
220,1,3,1,16.0,0,0,8.05,1,1,False,False,True,False,False,False,False,False,False,True
221,0,2,1,27.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
222,0,3,1,51.0,0,0,8.05,1,1,False,False,True,False,False,False,False,True,False,False
224,1,1,1,38.0,1,0,90.0,2,0,False,False,True,False,False,True,False,False,False,False
225,0,3,1,22.0,0,0,9.35,1,1,False,False,True,False,False,False,False,False,True,False
226,1,2,1,19.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
227,0,3,1,20.5,0,0,7.25,1,1,False,False,True,False,False,False,False,False,False,True
228,0,2,1,18.0,0,0,13.0,1,1,False,False,True,False,False,False,True,False,False,False
229,0,3,0,29.869351032448375,3,1,25.4667,5,0,False,False,True,False,False,False,False,False,False,True
230,1,1,0,35.0,1,0,83.475,2,0,False,False,True,False,False,True,False,False,False,False
231,0,3,1,29.0,0,0,7.775,1,1,False,False,True,False,False,False,False,False,True,False
232,0,2,1,59.0,0,0,13.5,1,1,False,False,True,False,False,False,False,True,False,False
233,1,3,0,5.0,4,2,31.3875,7,0,False,False,True,False,False,False,False,True,False,False
234,0,2,1,24.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
235,0,3,0,29.869351032448375,0,0,7.55,1,1,False,False,True,False,False,False,False,False,True,False
236,0,2,1,44.0,1,0,26.0,2,0,False,False,True,False,False,False,False,True,False,False
237,1,2,0,8.0,0,2,26.25,3,0,False,False,True,False,False,False,True,False,False,False
238,0,2,1,19.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
239,0,2,1,33.0,0,0,12.275,1,1,False,False,True,False,False,False,True,False,False,False
240,0,3,0,29.869351032448375,1,0,14.4542,2,0,True,False,False,False,False,False,False,False,False,True
242,0,2,1,29.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
243,0,3,1,22.0,0,0,7.125,1,1,False,False,True,False,False,False,False,True,False,False
244,0,3,1,30.0,0,0,7.225,1,1,True,False,False,False,False,False,False,False,False,True
245,0,1,1,44.0,2,0,90.0,3,0,False,True,False,False,False,True,False,False,False,False
246,0,3,0,25.0,0,0,7.775,1,1,False,False,True,False,False,False,False,False,True,False
247,1,2,0,24.0,0,2,14.5,3,0,False,False,True,False,False,False,True,False,False,False
248,1,1,1,37.0,1,1,52.5542,3,0,False,False,True,False,False,False,True,False,False,False
249,0,2,1,54.0,1,0,26.0,2,0,False,False,True,False,False,False,True,False,False,False
250,0,3,1,29.869351032448375,0,0,7.25,1,1,False,False,True,False,False,False,False,True,False,False
251,0,3,0,29.0,1,1,10.4625,3,0,False,False,True,False,False,False,False,False,False,True
252,0,1,1,62.0,0,0,26.55,1,1,False,False,True,False,False,True,False,False,False,False
253,0,3,1,30.0,1,0,16.1,2,0,False,False,True,False,False,False,False,False,False,True
254,0,3,0,41.0,0,2,20.2125,3,0,False,False,True,False,False,False,False,False,True,False
255,1,3,0,29.0,0,2,15.2458,3,0,True,False,False,False,False,False,False,False,False,True
256,1,1,0,29.869351032448375,0,0,79.2,1,1,True,False,False,True,False,False,False,False,False,False
257,1,1,0,30.0,0,0,86.5,1,1,False,False,True,False,True,False,False,False,False,False
258,1,1,0,35.0,0,0,512.3292,1,1,True,False,False,False,True,False,False,False,False,False
259,1,2,0,50.0,0,1,26.0,2,0,False,False,True,False,False,False,False,True,False,False
261,1,3,1,3.0,4,2,31.3875,7,0,False,False,True,False,False,False,False,True,False,False
262,0,1,1,52.0,1,1,79.65,3,0,False,False,True,False,False,False,False,True,False,False
263,0,1,1,40.0,0,0,0.0,1,1,False,False,True,False,True,False,False,False,False,False
264,0,3,0,29.869351032448375,0,0,7.75,1,1,False,True,False,False,False,False,False,False,False,True
265,0,2,1,36.0,0,0,10.5,1,1,False,False,True,False,False,False,True,False,False,False
266,0,3,1,16.0,4,1,39.6875,6,0,False,False,True,False,False,False,False,False,False,True
267,1,3,1,25.0,1,0,7.775,2,0,False,False,True,False,False,False,False,False,True,False
268,1,1,0,58.0,0,1,153.4625,2,0,False,False,True,False,False,True,False,False,False,False
269,1,1,0,35.0,0,0,135.6333,1,1,False,False,True,False,False,True,False,False,False,False
270,0,1,1,29.869351032448375,0,0,31.0,1,1,False,False,True,False,True,False,False,False,False,False
271,1,3,1,25.0,0,0,0.0,1,1,False,False,True,False,False,False,False,False,False,True
272,1,2,0,41.0,0,1,19.5,2,0,False,False,True,False,False,False,False,True,False,False
273,0,1,1,37.0,0,1,29.7,2,0,True,False,False,False,False,True,False,False,False,False
275,1,1,0,63.0,1,0,77.9583,2,0,False,False,True,False,False,False,True,False,False,False
276,0,3,0,45.0,0,0,7.75,1,1,False,False,True,False,False,False,False,False,True,False
